#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
heart-warming (film)									heart-warming	/ˈhɑrtˈwɔrmɪŋ/	/ˈhɑːt wɔːmɪŋ/	adj	Making one feel happy and positive about life or human nature.	The film was so heart-warming that it restored my faith in human nature.	conmovedor																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
heavy-going (film)									heavy-going	/ˈhɛviˈɡoʊɪŋ/	/ˈhevi ˈgəʊɪŋ/	adj	Difficult to read, watch, or understand due to its complexity or slow pace.	The film was so heavy-going that I didn’t finish watching it.	denso																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
implausible (book)									implausible	/ɪmˈplɔzəbəl/	/ɪmˈplɔːzəbl/	adj	Not believable or realistic; unlikely to be true.	The story was highly implausible . I didn’t believe it for a minute.	inverosímil																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
intriguing (book)									intriguing	/ɪnˈtɹiɡɪŋ/	/ɪnˈtriːgɪŋ/	adj	Very interesting because of being unusual or mysterious.	The plot was really intriguing . I couldn’t put the book down.	intrigante																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
moving									moving	/ˈmuvɪŋ/	/ˈmuːvɪŋ/	adj	Causing strong emotions, especially sadness or sympathy.	The film was so moving it brought tears to my eyes.	emotivo																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
thought-provoking									thought-provoking	/ˈθɔtpɹəˈvoʊkɪŋ/	/ˈθɔːt prəˈvəʊkɪŋ/	adj	Causing deep thinking or reflection on a particular topic.	It’s a thought-provoking essay. It raises many interesting questions.	que hace reflexionar																																				Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films
a matter of time									a matter of time	/ə ˈmætə˞ əv ˈtʰaɪm/	/ə ˈmætər əv taɪm/	exp	An event that is inevitable and will happen sooner or later.	I’m sure you’ll find a job. It’s just a matter of time .	una cuestión de tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
any time from									any time from	/ˈɛni ˈtʰaɪm ˈfɹəm/	/ˈeni taɪm frəm/	exp	At any moment; whenever needed or possible.	You can come any time from 10 a.m. to 2 p.m .	en cualquier momento																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
at the time									at the time	/ət ðə ˈtʰaɪm/	/ət ðə taɪm/	exp	Referring to a specific moment in the past.	I missed the birth of my first child. I was on a plane at the time .	en aquel momento																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
at times									at times	/ət ˈtʰaɪmz/	/ət taɪmz/	exp	Occasionally; sometimes.	She can be bad-tempered at times.	a veces																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
before my time									before my time	/bɪˈfɔr ˈmaɪ ˈtʰaɪm/	/bɪˈfɔː maɪ taɪm/	exp	Before someone was born or before their active participation in something.	I’ve never heard of that singer. She must have been before my time .	anterior a mi época																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
behind the times									behind the times	/bɪˈhaɪnd ðə ˈtʰaɪmz/	/bɪˈhaɪnd ðə taɪmz/	exp	Not modern or up to date; old-fashioned.	He’s a bit behind the times. He still thinks men should wear a suit at work.	chapado a la antigua																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
by the time									by the time	/ˈbaɪ ðə ˈtʰaɪm/	/baɪ ðə taɪm/	exp	At the moment when something happens.	By the time we got to the station, the train had left.	cuando																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
for the time being									for the time being	/fə˞ ðə ˈtʰaɪm ˈbiɪŋ/	/fə ðə taɪm ˈbiːɪŋ/	exp	Temporarily; for now.	You can stay here for the time being .	de momento																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
from time to time									from time to time	/fɹəm ˈtʰaɪm tə ˈtʰaɪm/	/frəm taɪm tə taɪm/	exp	Occasionally; sometimes.	I eat out at restaurants from time to time .	de vez en cuando																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
give (someone) a hard time									give (someone) a hard time	/ˈɡɪv | ˈsəmˌwən | ə ˈhɑrd ˈtʰaɪm/	/gɪv ˈsʌmwʌn ə hɑːd taɪm/	exp	To criticize, scold, or make things difficult for someone.	If I’m late again, Dad will give me a hard time .	regañar																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
have the time of your life									have the time of your life	/həv ðə ˈtʰaɪm əv jə˞ ˈlaɪf/	/hæv ðə taɪm əv jɔː laɪf/	exp	To have an extremely enjoyable or exciting experience.	New York is such a fantastic city. You are going to have the time of your life .	pasárselo de maravilla																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
in no time									in no time	/ˈɪn ˈnoʊ ˈtʰaɪm/	/ɪn nəʊ taɪm/	exp	Very quickly; almost immediately.	I thought it would take me ages, but in fact I finished it in no time .	en nada																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
in time for									in time for	/ˈɪn ˈtʰaɪm ˈfɔr/	/ɪn taɪm fə/	exp	Early enough for something; before a deadline or event.	We arrived in time for his speech.	a tiempo para																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
it’s about time									it’s about time	/ˈɪts əˈbaʊt ˈtʰaɪm/	/ɪts əˈbaʊt taɪm/	exp	Used to express that something should have happened earlier.	You’ve had that computer for ages. It’s about time you got a new one.	ya es hora de																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
kill time									kill time	/ˈkʰɪl ˈtʰaɪm/	/kɪl taɪm/	exp	To do something unimportant while waiting.	I do crosswords to kill time while I wait at the airport.	matar el tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
make up for lost time									make up for lost time	/ˈmeɪk ˈəp fə˞ ˈlɔst ˈtʰaɪm/	/meɪk ʌp fə lɒst taɪm/	exp	To compensate for time previously wasted or lost.	I’ll have to work hard now to make up for lost time .	recuperar el tiempo perdido																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
me time									me time	/ˈmi ˈtʰaɪm/	/ˈmiː taim/	exp	Personal time to relax or do enjoyable activities alone.	I go shopping when I want some me time .	tiempo para mí																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
one thing at a time									one thing at a time	/ˈwən ˈθɪŋ ət ə ˈtʰaɪm/	/wʌn θɪŋ ət ə taɪm/	exp	To focus on only one task at a moment.	"Don&#x27;t try to multitask. Just do one thing at a time ."	una cosa a la vez																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
on time									on time	/ˈɔn ˈtʰaɪm/	/ɒn taɪm/	adv	Punctual; at the scheduled or expected moment.	We expect staff to be on time every morning.	puntual																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
run out of time									run out of time	/ˈɹən ˈaʊt əv ˈtʰaɪm/	/rʌn aʊt əv taɪm/	exp	To have no remaining time to complete something.	If we take too long at the museum, we’ll run out of time .	quedarse sin tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
save time									save time	/ˈseɪv ˈtʰaɪm/	/seɪv taɪm/	exp	To complete something more quickly or efficiently.	Take the motorway if you want to save time . It’s quicker.	ahorrar tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
short of time									short of time	/ˈʃɔrt əv ˈtʰaɪm/	/ʃɔːt əv taɪm/	exp	Not having enough time available.	I’d love to help you out, but I’m a little short of time right now.	(ir) justo de tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
spare the time									spare the time	/ˈspɛr ðə ˈtʰaɪm/	/speə ðə taɪm/	exp	To find free time to do something.	I’d love to come with you, but I’m too busy and can’t spare the time .	perder el tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
spend too long									spend too long	/ˈspɛnd ˈtʰu ˈlɔŋ/	/spend tuː lɒŋ/	exp	To use more time than necessary on something.	Let’s not spend too long at the museum. There are lots of other things I want to see.	pasar demasiado tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
take (me) a long time									take (me) a long time	/ˈtʰeɪk | ˈmi | ə ˈlɔŋ ˈtʰaɪm/	/teɪk mi ə lɒŋ taɪm/	exp	To require a lot of time to complete.	"It&#x27;s a long novel – it&#x27;s going to take me a long time to finish it."	llevar(me) mucho tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
take up all my time									take up all my time	/ˈtʰeɪk ˈəp ˈɔl ˈmaɪ ˈtʰaɪm/	/teɪk ʌp ɔːl maɪ taɪm/	exp	To occupy all available time, leaving no free moments.	My children take up all my time . I don’t have a minute to myself.	ocupar todo el tiempo (de alguien)																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
take your time									take your time	/ˈtʰeɪk jə˞ ˈtʰaɪm/	/teɪk jɔː taɪm/	exp	"To proceed at one&#x27;s own comfortable pace."	We aren’t in a hurry, so take your time .	tomarse el tiempo necesario																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
"there isn&#x27;t much time left"									"there isn&#x27;t much time left"	/ˈðɛr ˈɪzn̩t ˈmətʃ ˈtʰaɪm ˈlɛft/	/ðeə ˈɪznt mʌtʃ taɪm left/	exp	Very little remaining time before something ends.	"The train leaves at 10 a.m., so there isn&#x27;t much time left – hurry up!"	no quedar demasiado tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
the whole time									the whole time	/ðə ˈhoʊl ˈtʰaɪm/	/ðə həʊl taɪm/	exp	Throughout an entire period.	He spent the whole time on his phone and hardly spoke to me at lunch.	todo el tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
this time next week									this time next week	/ˈðɪs ˈtʰaɪm ˈnɛkst ˈwik/	/ðɪs taɪm nekst wiːk/	exp	Referring to the same time on the same day in the following week.	This time next week , I'll be lying on the beach.	la semana que viene a esta misma hora																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
time-consuming									time-consuming	/ˈtʰaɪmkənˈsumɪŋ/	/ˈtaɪm kənˈsjuːmɪŋ/	adj	Requiring a lot of time to complete.	Filling in your tax return is incredibly time-consuming .	que requiere mucho tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
time off									time off	/ˈtʰaɪm ˈɔf/	/taɪm ɒf/	exp	To take a break from work or responsibilities.	I’m working too hard. I need to take some time off.	tiempo libre																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
time on my hands									time on my hands	/ˈtʰaɪm ˈɔn ˈmaɪ ˈhændz/	/taɪm ɒn maɪ hændz/	exp	To have a lot of free time with no obligations.	My mum has got time on her hands since she retired.	(tener) todo el tiempo del mundo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
time’s up									time’s up	/ˈtʰaɪmz ˈəp/	/taɪmz ʌp/	exp	Used to indicate that the allotted time has ended.	Time’s up . The exam is over.	el tiempo se ha acabado																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
waste a lot of time									waste a lot of time	/ˈweɪst ə ˈlɑt əv ˈtʰaɪm/	/weɪst ə lɒt əv taɪm/	exp	To use time inefficiently or unproductively.	I waste a lot of time playing video games.	perder un montón de tiempo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
with time to spare									with time to spare	/ˈwɪθ ˈtʰaɪm tə ˈspɛr/	/wɪð taɪm tə speə/	exp	Finishing something earlier than expected or before a deadline.	We left early and got to the airport with time to spare .	con tiempo de sobra																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Expressions-with-time
account (n. money)									account	/əˈkʰaʊnt/	/əˈkaʊnt/	n	A record of financial transactions or an arrangement with a bank to hold and manage money.	I have opened a new bank account.	cuenta																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Money Voc::Money
affluent									affluent	/ˈæfluənt/	/ˈæfluənt/	adj	Having a lot of money or owning many expensive things.	My boss lives in an affluent neighbourhood.	acaudalado																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Money Voc::Money
balance (n. money)									balance	/ˈbæləns/	/ˈbæləns/	n	The amount of money available in a bank account.	I usually use a cash machine to check my balance .	saldo																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Money Voc::Money
borrow (money)									borrow	/ˈbɑroʊ/	/ˈbɒrəʊ/	v	To take money from someone temporarily with the intention of paying it back.	I borrowed some money from my parents to pay the bills.	tomar prestado																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Money Voc::Money
broke (money)									broke	/ˈbɹoʊk/	/brəʊk/	adj	Without money; having no funds available.	Can I borrow some money? I’m broke .	(estar) sin blanca																																				Curso::1C1::File_5 Curso::1C1::Vocabulary-Bank::Money Voc::Money
